Sr No,Date,Startup Name,Industry vertical,Subvertical,City location,Investors Name,InvestmentType,Amount in $
961,15/03/2017,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,100000
962,16/03/2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000
964,16/03/2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000
965,16/03/2017,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,200000
967,21/03/2017,Flipkart,eCommerce,ECommerce Marketplace,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,1400000000
968,21/03/2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,3670000
969,21/03/2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,5300000
971,22/03/2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,191000
972,23/03/2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,15000000
973,23/03/2017,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,56000000
974,24/03/2017,Bizom,Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,382000
976,24/03/2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,100000000
978,28/03/2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,500000
980,28/03/2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,300000
982,29/03/2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,325000
983,29/03/2017,perpule,eCommerce,Self-Checkout ECommerce App,Bangalore,KStart Capital,Seed Funding,650000
985,29/03/2017,Licious,ECommerce,Online Meat Ordering platform,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000
986,29/03/2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,50000
990,31/03/2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,155000
991,31/03/2017,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,3000000
992,31/03/2017,BigBasket,ECommerce,Online Grocer,Bangalore,Trifecta Capital,Private Equity,7000000
995,31/03/2017,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,25000000
998,06/02/2017,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,2500000
1000,07/02/2017,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,450000
1001,07/02/2017,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000
1002,08/02/2017,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Earlsfield Capital,Seed Funding,1000000
1003,08/02/2017,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,1200000
1004,08/02/2017,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,55000000
1006,08/02/2017,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,40000
1007,09/02/2017,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,6000000
1009,09/02/2017,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000
1010,10/02/2017,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,500000
1012,13/02/2017,Sigtuple,Technology,Medical Automation platform,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,5800000
1013,13/02/2017,Flutura,Technology,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,7500000
1014,13/02/2017,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,3200000
1015,13/02/2017,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,15000000
1016,13/02/2017,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,330000
1017,13/02/2017,Fyle,Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,400000
1018,14/02/2017,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,300000
1019,14/02/2017,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,22400000
1022,15/02/2017,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,6500000
1023,15/02/2017,AirZaar,Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,350000
1024,16/02/2017,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,3000000
1025,16/02/2017,YourStory,Consumer Internet,Online Media,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,3000000
1026,17/02/2017,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,500000
1027,17/02/2017,The Ken,Consumer Internet,Online Media Platform,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,400000
1028,17/02/2017,Urban Ladder,ECommerce,Online Furniture Store,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,15200000
1031,17/02/2017,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000
1032,18/02/2017,Blood n Care,Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,40000
1033,20/02/2017,Flipkart,eCommerce,Online Marketplace,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,38700000
1034,21/02/2017,True Balance,Consumer Internet,Mobile balance Checking App,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,15000000
1035,22/02/2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,40000
1036,23/02/2017,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,1100000
1040,27/02/2017,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,375000
1041,27/02/2017,Johari Shop,ECommerce,Online Jewellery etailer,Bangalore,Undisclosed Investors,Seed Funding,94000
1042,28/02/2017,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,1000000
1043,28/02/2017,Blackbuck,Logistics,Online freight aggregator,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,70000000
1044,02/01/2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,366000
1045,03/01/2017,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,825000
1051,06/01/2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000
1052,07/01/2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000
1053,09/01/2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,35000000
1054,10/01/2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000
1055,10/01/2017,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,5000000
1056,10/01/2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,2250000
1058,10/01/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,100000
1059,10/01/2017,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,3500000
1061,12/01/2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,1350000
1062,12/01/2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,10000000
1063,13/01/2017,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000
1065,13/01/2017,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,440000
1066,14/01/2017,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,4500000
1069,16/01/2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,5000000
1071,16/01/2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,700000
1072,17/01/2017,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,800000
1073,17/01/2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,2000000
1074,17/01/2017,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,55000000
1075,17/01/2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,441000
1076,17/01/2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,500000
1077,17/01/2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,147000
1080,18/01/2017,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,650000
1081,18/01/2017,Qwikspec,Technology,Cloud-based construction,Bangalore,Undisclosed Investors,Seed Funding,300000
1083,19/01/2017,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,1000000
1090,22/01/2017,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,50000
1093,23/01/2017,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,15000000
1096,24/01/2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,500000
1097,24/01/2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,10000000
1098,24/01/2017,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,4000000
1101,25/01/2017,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,4000000
1103,25/01/2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,2200000
1104,25/01/2017,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,8800000
1106,26/01/2017,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,1400000
1107,26/01/2017,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,300000
1109,30/01/2017,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000
1110,30/01/2017,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,22500
1111,30/01/2017,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,68000
1112,30/01/2017,Maptags,Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,18000
1114,31/01/2017,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,2000000
1116,01/12/2016,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,1200000
1117,01/12/2016,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,4000000
1118,01/12/2016,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,3600000
1119,02/12/2016,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,100000
1121,02/12/2016,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,3000000
1123,05/12/2016,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000
1125,06/12/2016,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,147000
1131,07/12/2016,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,9000000
1132,07/12/2016,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,440000
1134,08/12/2016,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,6500000
1135,08/12/2016,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,250000
1136,09/12/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,6000000
1138,09/12/2016,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,450000
1139,09/12/2016,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,250000
1140,12/12/2016,Xseed Education,Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,10000000
1141,12/12/2016,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,200000
1142,12/12/2016,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,2000000
1144,12/12/2016,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,2000000
1145,13/12/2016,Indifi,Consumer Internet,Online lending platform,Gurgaon,Omidyar Network,Private Equity,10000000
1147,13/12/2016,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,11100000
1149,14/12/2016,Qacco,Consumer Internet,Hotel Booking platform,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,150000
1150,14/12/2016,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,1000000
1153,14/12/2016,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,297000
1154,15/12/2016,SERV\\xe2\\x80\\x99D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,100000
1155,15/12/2016,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,10000000
1156,15/12/2016,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,35000000
1157,15/12/2016,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,3000000
1158,16/12/2016,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,23000000
1159,16/12/2016,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,123000
1161,19/12/2016,NoBroker,Consumer Internet,Rental property search portal,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,7400000
1162,20/12/2016,VivoCarat,eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,50000
1165,20/12/2016,BYJU\\xe2\\x80\\x99s,Consumer Internet,Online Learning platform,Bangalore,International Financial Corporation,Private Equity,15000000
1167,21/12/2016,The BlueBook,Consumer Internet,online to offline marketing platform,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,500000
1169,21/12/2016,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,162000
1171,22/12/2016,Mindler,Consumer Internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,324000
1172,22/12/2016,MCaffeine,eCommerce,Personal care product etailer,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,300000
1173,23/12/2016,enKast,Technology,Cloud based CRM for Agencies,Bangalore,Ivy League Alumni Angel Network,Private Equity,2000000
1180,26/12/2016,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,1200000
1181,26/12/2016,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,10000000
1182,27/12/2016,ShopX,eCommerce,SAAS ECommerce Retail app,Bangalore,Nandan Nilekani,Private Equity,5000000
1184,29/12/2016,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,1000000
1188,01/11/2016,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000
1189,02/11/2016,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000
1190,02/11/2016,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,150000
1193,03/11/2016,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,6000000
1195,03/11/2016,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,10000000
1197,04/11/2016,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,1000000
1198,04/11/2016,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,150000
1201,05/11/2016,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,45000
1202,05/11/2016,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000
1203,07/11/2016,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,75000000
1204,07/11/2016,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000
1205,09/11/2016,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,2000000
1206,09/11/2016,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,12000000
1207,10/11/2016,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,1000000
1211,14/11/2016,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,3000000
1212,14/11/2016,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,2000000
1214,15/11/2016,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,6000000
1215,15/11/2016,PlaySimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,4000000
1216,16/11/2016,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,5000000
1218,17/11/2016,Koovs,eCommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,13500000
1221,17/11/2016,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,147000
1222,18/11/2016,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,1000000
1225,21/11/2016,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,90000
1226,21/11/2016,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,650000
1227,22/11/2016,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,5000000
1228,22/11/2016,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,147000
1230,22/11/2016,Vymo,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,5000000
1232,22/11/2016,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,147000
1233,23/11/2016,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,20000000
1234,23/11/2016,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,600000
1235,23/11/2016,Udaan,eCommerce,B2B Marketplace,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,10000000
1238,24/11/2016,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,4000000
1245,28/11/2016,Kloseby,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Undisclosed Investor,Seed Funding,100000
1246,28/11/2016,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000
1248,29/11/2016,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000
1249,30/11/2016,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000
1250,30/11/2016,ShopsUp,eCommerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,963000
1251,30/11/2016,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,150000
1252,30/11/2016,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,200000
1253,30/11/2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,2000000
1254,30/11/2016,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,Quarizon,Seed Funding,218000
1255,30/11/2016,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,100000
1256,30/11/2016,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,440000
1257,30/11/2016,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,500000
1259,30/11/2016,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,500000
1261,03/10/2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,5000000
1263,03/10/2016,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000
1264,03/10/2016,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,200000
1265,04/10/2016,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,450000
1268,04/10/2016,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000
1269,04/10/2016,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000
1270,04/10/2016,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000
1272,04/10/2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000
1273,04/10/2016,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000
1274,04/10/2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000
1278,05/10/2016,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000
1280,06/10/2016,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,300000
1282,06/10/2016,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,1050000
1283,07/10/2016,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,100000
